Unnamed: 0,prompt,completion,predicted_result,NRMSE
73,select avg(Weekly_Sales) from Walmart where Store in ( '36' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,336558.0,337,12073366.866459245
74,select avg(Weekly_Sales) from Walmart where Store in ( '6' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,1674511.0,1406378968,12073366.866459245
75,select avg(Weekly_Sales) from Walmart where Store in ( '31' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,1405308.0,1453780964273,12073366.866459245
76,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '11' ) and    Fuel_Price between 2 and 3  ,1433839.0,1447892824,12073366.866459245
77,select avg(Weekly_Sales) from Walmart where Store in ( '19' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,1564001.0,1250405447953,12073366.866459245
78,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '16' ) and    Fuel_Price between 2 and 3  ,559179.0,516,12073366.866459245
79,select avg(Weekly_Sales) from Walmart where Store in ( '27' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,1817175.0,1279832059643,12073366.866459245
80,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '28' ) and    Fuel_Price between 2 and 3  ,1558968.0,2,12073366.866459245
81,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '2' ) and    Fuel_Price between 3 and 4  ,1886818.0,1618008818,12073366.866459245
82,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '20' ) and    Fuel_Price between 2 and 3  ,2031089.0,2,12073366.866459245
83,select avg(Weekly_Sales) from Walmart where Store in ( '35' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 4  ,1074348.0,1183505620,12073366.866459245
84,select avg(Weekly_Sales) from Walmart where Store in ( '14' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,2163730.0,1523597215975,12073366.866459245
85,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '28' ) and    Fuel_Price between 3 and 4  ,1313748.0,1414956969,12073366.866459245
86,select avg(Weekly_Sales) from Walmart where Store in ( '30' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,430402.0,565,12073366.866459245
87,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '32' ) and    Fuel_Price between 3 and 4  ,1215923.0,1365363917,12073366.866459245
88,select avg(Weekly_Sales) from Walmart where Store in ( '24' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,1444302.0,2,12073366.866459245
89,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '1' ) and    Fuel_Price between 2 and 3  ,1618090.0,2,12073366.866459245
90,select avg(Weekly_Sales) from Walmart where Store in ( '32' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,1140459.0,1362024,12073366.866459245
91,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '45' ) and    Fuel_Price between 3 and 4  ,873061.0,631,12073366.866459245
92,select avg(Weekly_Sales) from Walmart where Store in ( '21' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,850477.0,1596365940968,12073366.866459245
93,select avg(Weekly_Sales) from Walmart where Store in ( '30' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,425948.0,372892,12073366.866459245
94,select avg(Weekly_Sales) from Walmart where Store in ( '13' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,1953201.0,2,12073366.866459245
95,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '40' ) and    Fuel_Price between 3 and 4  ,973777.0,1184892965209,12073366.866459245
96,select avg(Weekly_Sales) from Walmart where Store in ( '42' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,552853.0,687774112,12073366.866459245
97,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '13' ) and    Fuel_Price between 2 and 4  ,1995392.0,2,12073366.866459245
98,select avg(Weekly_Sales) from Walmart where Store in ( '34' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,1034609.0,1442946502419,12073366.866459245
99,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '30' ) and    Fuel_Price between 3 and 4  ,425948.0,800,12073366.866459245
100,select avg(Weekly_Sales) from Walmart where Store in ( '9' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,552815.0,709,12073366.866459245
101,select avg(Weekly_Sales) from Walmart where Store in ( '41' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,1189694.0,2,12073366.866459245
102,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '13' ) and    Fuel_Price between 2 and 3  ,1953201.0,1976964824,12073366.866459245
103,select avg(Weekly_Sales) from Walmart where Store in ( '8' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,981967.0,1024914976396,12073366.866459245
104,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '45' ) and    Fuel_Price between 2 and 3  ,689224.0,848,12073366.866459245
105,select avg(Weekly_Sales) from Walmart where Store in ( '30' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,453225.0,615959914219,12073366.866459245
106,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '7' ) and    Fuel_Price between 2 and 4  ,672400.0,519,12073366.866459245
107,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '43' ) and    Fuel_Price between 2 and 3  ,643324.0,1082210619,12073366.866459245
108,select avg(Weekly_Sales) from Walmart where Store in ( '42' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,529106.0,524,12073366.866459245
109,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '25' ) and    Fuel_Price between 2 and 3  ,699133.0,1034079024,12073366.866459245
110,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '14' ) and    Fuel_Price between 3 and 3  ,1968462.0,1034210505,12073366.866459245
111,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '14' ) and    Fuel_Price between 2 and 3  ,1947993.0,2,12073366.866459245
112,select avg(Weekly_Sales) from Walmart where Store in ( '36' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,336558.0,279,12073366.866459245
113,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '38' ) and    Fuel_Price between 2 and 4  ,375716.0,1096035611283,12073366.866459245
114,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '39' ) and    Fuel_Price between 3 and 4  ,1597668.0,1279194170944,12073366.866459245
115,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '8' ) and    Fuel_Price between 2 and 3  ,892984.0,1250424131984,12073366.866459245
116,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '23' ) and    Fuel_Price between 3 and 4  ,1496461.0,2,12073366.866459245
117,select avg(Weekly_Sales) from Walmart where Store in ( '28' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,1313748.0,1097317253200,12073366.866459245
118,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '22' ) and    Fuel_Price between 2 and 3  ,1012975.0,1819867619,12073366.866459245
119,select avg(Weekly_Sales) from Walmart where Store in ( '19' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,1564001.0,1281824425389844,12073366.866459245
120,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '4' ) and    Fuel_Price between 3 and 4  ,2298759.0,2,12073366.866459245
121,select avg(Weekly_Sales) from Walmart where Store in ( '29' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 4 and 4  ,516909.0,631625024914218,12073366.866459245
122,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '28' ) and    Fuel_Price between 3 and 4  ,1313748.0,2,12073366.866459245
123,select avg(Weekly_Sales) from Walmart where Store in ( '41' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,1303218.0,1477250946279,12073366.866459245
124,select avg(Weekly_Sales) from Walmart where Store in ( '42' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,582400.0,718115,12073366.866459245
125,select avg(Weekly_Sales) from Walmart where Store in ( '29' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,631076.0,438020,12073366.866459245
126,select avg(Weekly_Sales) from Walmart where Store in ( '11' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,1347142.0,1597597272,12073366.866459245
127,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '43' ) and    Fuel_Price between 3 and 4  ,631027.0,1354616326027,12073366.866459245
128,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '42' ) and    Fuel_Price between 2 and 3  ,582400.0,510,12073366.866459245
129,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '45' ) and    Fuel_Price between 2 and 3  ,689224.0,765609,12073366.866459245
130,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '9' ) and    Fuel_Price between 2 and 4  ,588950.0,557424892020,12073366.866459245
131,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '38' ) and    Fuel_Price between 2 and 3  ,342214.0,524,12073366.866459245
132,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '41' ) and    Fuel_Price between 2 and 3  ,1189694.0,1976952059,12073366.866459245
133,select avg(Weekly_Sales) from Walmart where Store in ( '26' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,982824.0,1259279192389253,12073366.866459245
134,select avg(Weekly_Sales) from Walmart where Store in ( '26' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,1082819.0,1453694218,12073366.866459245
135,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '10' ) and    Fuel_Price between 3 and 4  ,2218959.0,2,12073366.866459245
136,select avg(Weekly_Sales) from Walmart where Store in ( '20' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,2062031.0,1356892964160,12073366.866459245
137,select avg(Weekly_Sales) from Walmart where Store in ( '43' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,631027.0,1346562201002,12073366.866459245
138,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '13' ) and    Fuel_Price between 2 and 3  ,2061192.0,1597389279,12073366.866459245
139,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '20' ) and    Fuel_Price between 2 and 3  ,2062031.0,2,12073366.866459245
140,select avg(Weekly_Sales) from Walmart where Store in ( '33' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,274024.0,351,12073366.866459245
141,select avg(Weekly_Sales) from Walmart where Store in ( '10' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,1948279.0,2,12073366.866459245
142,select avg(Weekly_Sales) from Walmart where Store in ( '41' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,1303218.0,1028867920769,12073366.866459245
143,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '25' ) and    Fuel_Price between 3 and 3  ,718056.0,626,12073366.866459245
144,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '22' ) and    Fuel_Price between 3 and 4  ,1112750.0,2,12073366.866459245
145,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '38' ) and    Fuel_Price between 2 and 3  ,348175.0,631,12073366.866459245
146,select avg(Weekly_Sales) from Walmart where Store in ( '22' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,1112750.0,1283400031558,12073366.866459245
147,select avg(Weekly_Sales) from Walmart where Store in ( '21' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,768199.0,1096519248302,12073366.866459245
148,select avg(Weekly_Sales) from Walmart where Store in ( '32' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,1215923.0,2,12073366.866459245
149,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '7' ) and    Fuel_Price between 2 and 3  ,656158.0,751,12073366.866459245
150,select avg(Weekly_Sales) from Walmart where Store in ( '16' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,559179.0,699,12073366.866459245
151,select avg(Weekly_Sales) from Walmart where Store in ( '22' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,1035196.0,1976549524,12073366.866459245
152,select avg(Weekly_Sales) from Walmart where Store in ( '20' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 4  ,2103027.0,2,12073366.866459245
153,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '5' ) and    Fuel_Price between 3 and 4  ,320615.0,390555440277099,12073366.866459245
154,select avg(Weekly_Sales) from Walmart where Store in ( '27' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,1917597.0,1438334348,12073366.866459245
155,select avg(Weekly_Sales) from Walmart where Store in ( '4' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,2142137.0,1372402833444,12073366.866459245
156,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '7' ) and    Fuel_Price between 3 and 4  ,583729.0,873,12073366.866459245
157,select avg(Weekly_Sales) from Walmart where Store in ( '43' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,656212.0,626,12073366.866459245
158,select avg(Weekly_Sales) from Walmart where Store in ( '16' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,559179.0,571,12073366.866459245
159,select avg(Weekly_Sales) from Walmart where Store in ( '24' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,1483606.0,1019914984,12073366.866459245
160,select avg(Weekly_Sales) from Walmart where Store in ( '38' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,372826.0,630,12073366.866459245
161,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '30' ) and    Fuel_Price between 2 and 3  ,453907.0,566892524914058,12073366.866459245
162,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '21' ) and    Fuel_Price between 2 and 4  ,750774.0,1163366597214,12073366.866459245
163,select avg(Weekly_Sales) from Walmart where Store in ( '23' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,1414969.0,1479976948909,12073366.866459245
